,pred,proba,acc,prec,rec,f1,auc,cm
SVM,"[0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 0 1 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 1
 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0
 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1
 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0]","[2.90302326e-04 9.99988787e-01 1.11916568e-06 9.87471345e-01
 1.00000010e-07 1.93371066e-01 1.34119814e-05 9.99994616e-01
 1.11304101e-04 2.26631419e-02 9.91391892e-01 1.40473741e-07
 1.00000010e-07 1.36093818e-04 1.00000010e-07 7.28089237e-07
 1.00000010e-07 2.99962496e-04 9.99996823e-01 1.00000010e-07
 1.00000010e-07 8.15889903e-06 9.88195470e-01 1.00000010e-07
 9.91035740e-01 3.96036466e-01 9.10547124e-07 9.95839585e-01
 8.86214522e-01 9.12000015e-01 2.62294379e-01 9.97358198e-01
 1.00000010e-07 1.07297206e-04 1.83903092e-04 1.70465406e-05
 1.00000010e-07 1.17007944e-07 1.62031547e-06 7.06334308e-02
 9.72905845e-01 1.00000010e-07 1.00000010e-07 2.06193304e-07
 1.82266300e-05 2.15736168e-04 9.99993577e-01 1.00000010e-07
 9.94580728e-01 9.99986393e-01 9.53473089e-01 8.40389793e-05
 7.04761551e-05 1.27919415e-05 7.15770166e-01 9.79452237e-01
 7.55757230e-06 1.00000010e-07 1.00000010e-07 9.96552650e-01
 2.75890856e-03 1.00000010e-07 9.37907377e-01 6.68002216e-07
 9.87262531e-01 6.75388854e-01 1.09647704e-01 1.39733349e-01
 4.39449171e-02 6.09958468e-06 1.00000010e-07 1.00000010e-07
 9.99999570e-01 9.95949052e-01 9.46042296e-01 9.93865845e-01
 2.69692143e-07 9.91276635e-01 1.00000010e-07 9.59759516e-01
 1.02033137e-07 1.00000010e-07 1.00000010e-07 1.00000010e-07
 2.87733454e-07 2.69585553e-04 1.80772643e-05 1.55361437e-07
 1.00000010e-07 1.00000010e-07 1.00000010e-07 3.08454948e-01
 9.99993577e-01 9.99993577e-01 7.37664635e-06 1.36844145e-01
 8.42183546e-04 9.99993577e-01 1.00000010e-07 1.00000010e-07
 4.98558259e-05 2.59532544e-07 2.90409626e-04 1.20218080e-01
 2.18195683e-04 5.11538633e-07 7.98861439e-03 2.85146803e-04
 9.99993577e-01 1.00000010e-07 4.35563097e-05 1.00000010e-07
 6.13495303e-06 5.32340396e-01 9.94419796e-01 8.58266008e-06
 1.00000010e-07 9.87471345e-01 1.00000010e-07 9.95863256e-01
 1.00000010e-07 9.99993577e-01 3.81287149e-06 1.00000010e-07
 1.00000010e-07 3.06053456e-05 1.00000010e-07 7.39884437e-05
 9.99997539e-01 1.16669703e-04 9.99994616e-01 9.97478104e-01
 9.99993577e-01 1.00000010e-07 2.68506542e-07 5.61665477e-04
 7.11990164e-07 1.57605907e-03 1.00000010e-07 6.21850330e-07
 5.22564754e-07 6.78617755e-06 1.00000010e-07 9.94717585e-01
 9.92135351e-01 1.87208493e-04 9.57914289e-01 2.06008485e-06
 1.00000010e-07 9.99992881e-01 1.00000010e-07 9.78938636e-01
 1.45729508e-03 1.00000010e-07 3.74005086e-05 2.39537309e-06
 5.05883914e-01 1.00000010e-07 1.00000010e-07 3.51050067e-04
 5.80341068e-01 1.19722503e-04 9.93696185e-01 1.00000010e-07
 1.00000010e-07 4.75051790e-05 1.46655941e-07 8.93280750e-01
 1.00000010e-07 1.00000010e-07 9.39616847e-01 2.76651539e-04
 5.23406778e-01 2.57511120e-01 1.00000010e-07 2.31750441e-04
 2.69953145e-02 1.00000010e-07 1.33859111e-05 9.99994616e-01
 1.61548184e-05 7.92142896e-02 1.47963074e-05 8.12959737e-06
 5.72474477e-01 9.96619467e-01 9.99995044e-01 1.00000010e-07
 9.92511229e-06 1.00000010e-07 9.99993577e-01 2.19172810e-02
 1.88153539e-07 9.99992281e-01 9.99995421e-01 1.82969710e-06
 1.00000010e-07 1.51346921e-01 1.00000010e-07 2.62377941e-06
 1.00000010e-07 1.91352269e-02 4.70171729e-01 1.15959595e-04
 9.99993577e-01 1.00000010e-07 3.71151107e-07 3.50356455e-02
 9.93865845e-01 1.00000010e-07 1.03555990e-02 2.30768442e-07
 1.68063832e-04]",0.9859154929577465,0.9833333333333333,0.9672131147540983,0.9752066115702479,0.9997842968075928,"[[151   1]
 [  2  59]]"
MLP,"[0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 0 1 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 1
 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0
 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1
 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0]","[4.98934214e-58 9.99435567e-01 2.47294672e-09 9.93087185e-01
 1.99408317e-14 1.80704437e-01 2.68220046e-07 9.99498720e-01
 8.99744881e-25 5.81251594e-03 9.87946467e-01 2.30284292e-08
 3.16688751e-18 3.80670916e-05 2.14751345e-14 2.70620722e-17
 7.40546538e-09 2.65354671e-26 9.99072627e-01 6.10139429e-10
 7.19627841e-19 3.41569689e-06 9.97576848e-01 4.64293571e-09
 9.95100822e-01 2.96006963e-01 4.85161606e-07 9.96471354e-01
 9.52473270e-01 9.87678847e-01 2.09898711e-01 9.98950683e-01
 3.09662784e-08 6.42260698e-25 1.12690801e-04 8.45067037e-20
 1.93070243e-09 3.46135211e-15 2.69342719e-17 6.81999726e-03
 9.95391593e-01 4.11999329e-15 1.54120341e-08 7.22152505e-16
 4.78972307e-28 3.68538491e-29 9.99507491e-01 2.17736807e-11
 9.97975432e-01 9.99387731e-01 9.57303696e-01 4.78457653e-05
 7.56684083e-05 4.19140154e-06 7.29661680e-01 9.90234154e-01
 1.98458975e-19 4.02241464e-12 1.32191136e-20 9.99336116e-01
 5.46635231e-04 1.93347947e-12 9.43310494e-01 4.98363820e-09
 9.97921070e-01 7.74992247e-01 2.73968336e-02 2.93778071e-01
 3.61997582e-02 9.47751213e-27 4.71740524e-08 5.62035013e-14
 9.99462493e-01 9.97552226e-01 9.59748316e-01 9.96612437e-01
 4.43606377e-16 9.93481297e-01 1.78921528e-08 9.71353972e-01
 5.09812254e-23 3.74478172e-09 3.31817323e-16 1.68049801e-12
 5.86746033e-19 6.07782738e-32 4.42281970e-24 1.46849266e-22
 1.82718882e-18 6.29877129e-22 1.17885670e-14 1.52683598e-04
 9.99507491e-01 9.99507491e-01 2.05297763e-09 1.24996986e-01
 1.65093691e-04 9.99507491e-01 6.43686898e-12 1.73343154e-19
 4.60653704e-18 3.73272148e-23 2.53315654e-42 2.14079886e-01
 3.41513125e-06 2.44329043e-24 4.80106641e-05 4.95057555e-40
 9.99507491e-01 6.20236852e-09 1.35920706e-29 3.03853843e-13
 1.72708175e-05 5.47044849e-01 9.97655819e-01 6.56569600e-07
 3.27064393e-10 9.93087185e-01 7.57111966e-11 9.98759003e-01
 1.01461456e-13 9.99507491e-01 4.56523531e-26 1.39310474e-13
 1.00269874e-15 6.12120717e-08 1.11623107e-14 7.03459017e-06
 9.98880140e-01 3.80806936e-04 9.99498720e-01 9.98881560e-01
 9.99507491e-01 1.52068376e-15 5.55143515e-08 2.18775802e-13
 2.20353183e-10 2.29439591e-04 6.36980256e-10 9.38548135e-15
 1.29470807e-07 9.99414347e-27 1.16931853e-11 9.97688595e-01
 9.96381005e-01 1.15691280e-04 9.95163060e-01 7.61642892e-07
 4.65789548e-08 9.98243047e-01 3.81127164e-09 9.87793998e-01
 6.25584443e-05 5.20367400e-11 1.40579980e-07 7.16344134e-08
 5.88267054e-01 2.42269293e-08 1.93070243e-09 4.74232235e-05
 8.51121197e-01 4.32489353e-04 9.98691489e-01 2.04925708e-11
 6.07806641e-15 3.11176136e-23 2.53345035e-08 9.12336281e-01
 1.66850017e-17 3.06184267e-10 9.90964136e-01 1.08490266e-24
 2.49322417e-01 2.07653260e-01 1.17234350e-11 5.68241118e-05
 6.92455794e-03 1.22846437e-19 8.31110930e-14 9.99498720e-01
 8.08909638e-28 3.55467386e-02 4.56901433e-27 8.57248312e-08
 7.32742249e-01 9.98801560e-01 9.99494277e-01 2.88444646e-21
 2.83364709e-08 6.57723074e-08 9.99507491e-01 1.74774589e-02
 1.88487385e-23 9.99436081e-01 9.99489793e-01 7.17125224e-06
 1.26850334e-13 8.28411216e-02 3.75740043e-14 2.57220709e-08
 2.08768998e-14 5.04428014e-02 7.83767878e-01 5.55976081e-32
 9.99507491e-01 4.59526246e-15 5.76439006e-18 6.59264942e-03
 9.96612437e-01 1.71727584e-10 7.19997958e-03 9.11445010e-12
 7.91999086e-35]",1.0,1.0,1.0,1.0,1.0,"[[152   0]
 [  0  61]]"
